"Title","Concept","Glossary term » Taxonomy term » Acronym (indexed field)","Definition","Deliverable(s)","Glossary term » Taxonomy term » Alternative labels (indexed field)","term_id","node_id"
"anthropocentrism_tca","anthropocentrism","","The ethical belief that humans alone possess intrinsic value (Goralnik & Nelson, 2012).","Transformative change assessment",NA,33931,87930
"anthropogenic_ldr","anthropogenic","","Originating from human activity.","Land degradation and restoration assessment",NA,24555,40692
"anthropogenic assets_eca_ama","anthropogenic assets","","Built-up infrastructure, health facilities, or knowledge - including indigenous and local knowledge systems and technical or scientific knowledge - as well as formal and non-formal education, work, technology (both physical objects and procedures), and financial assets. Anthropogenic assets have been highlighted to emphasize that a good quality of life is achieved by a co-production of benefits between nature and people.","Europe and Central Asia assessment, Americas assessment",NA,21546,16240
"anthropogenic assets_ppa_scm","anthropogenic assets","","Built-up infrastructure, health facilities, knowledge (including indigenous and local knowledge systems and technical or scientific knowledge, as well as formal and non- formal education), technology (both physical objects and procedures), and financial assets among others.","Pollination assessment, Scenarios and models assessment",NA,21546,40693
"anthropogenic assets_ga1_apa_ldr","anthropogenic assets","","Built-up infrastructure, health facilities, or knowledge - including indigenous and local knowledge systems and technical or scientific knowledge - as well as formal and non-formal education, technology (both physical objects and procedures), and financial assets. Anthropogenic assets have been highlighted to emphasize that a good quality of life is achieved by a co-production of benefits between nature and people.","Global assessment (1st work programme), Asia-Pacific assessment, Land degradation and restoration assessment",NA,21546,40695
"anthropogenic biome_ga1","anthropogenic biome","","See 'Anthrome'.","Global assessment (1st work programme)",NA,24556,40696
"anthropogenic drivers_scm","anthropogenic drivers","","Drivers associated with human actions/activities that drive changes in biodiversity and ecosystems.","Scenarios and models assessment",NA,24557,40697
"anthropogenic impact_ama","anthropogenic impact","","Impacts resulting from human activities.","Americas assessment",NA,24558,40698
"anthropogenic landscape_ga1","anthropogenic landscape","","Areas of Earth's terrestrial surface where direct human alteration of ecological patterns and processes is significant, ongoing, and directed toward servicing the needs of human populations for food, shelter and other resources and services including recreation and aesthetic needs.","Global assessment (1st work programme)",NA,24559,40699
"anthropogenic pressure_apa","anthropogenic pressure","","Caused or influenced by humans.","Asia-Pacific assessment",NA,24560,40700
"anthropogenic value_scm","anthropogenic value","","A concept or construct generated by humans. While it can be argued that all principles and preferences are anthropogenic (human-generated), this does not mean they are all anthropocentric (human-centred).","Scenarios and models assessment",NA,24561,40701
"aphotic zone_apa","aphotic zone","","Aphotic zone is the portion of a lake or ocean where there is little or no sunlight. It is formally defined as the depths beyond which less than 1% of sunlight penetrates.","Asia-Pacific assessment",NA,24562,40702
"apiculture_ppa","apiculture","","(see Beekeeping).","Pollination assessment",NA,24563,40703
"approval_afa_ama_ga1_apa","approval","","Approval of the Platform's outputs signifies that the material has been subject to detailed, line-by-line discussion and agreement by consensus at a session of the Plenary.","Africa assessment, Americas assessment, Global assessment (1st work programme), Asia-Pacific assessment",NA,21547,16241
